"","MGI.symbol","HGNC.symbol","pair"
"114","Arhgef18","ARHGEF18","ARHGEF18_Arhgef18"
"115","Arhgef2","ARHGEF2","ARHGEF2_Arhgef2"
"116","Arid3a","ARID3A","ARID3A_Arid3a"
"117","Arid5b","ARID5B","ARID5B_Arid5b"
"118","Arl10","ARL10","ARL10_Arl10"
"119","Arl2","ARL2","ARL2_Arl2"
"120","Arl2bp","ARL2BP","ARL2BP_Arl2bp"
"121","Arl3","ARL3","ARL3_Arl3"
"122","Arl5a","ARL5A","ARL5A_Arl5a"
"123","Arl6ip4","ARL6IP4","ARL6IP4_Arl6ip4"
"124","Arl8a","ARL8A","ARL8A_Arl8a"
"125","Arnt","ARNT","ARNT_Arnt"
"126","Arnt2","ARNT2","ARNT2_Arnt2"
"127","Arpc2","ARPC2","ARPC2_Arpc2"
"128","Arpc4","ARPC4","ARPC4_Arpc4"
"129","Arpc5","ARPC5","ARPC5_Arpc5"
"130","Arpc5l","ARPC5L","ARPC5L_Arpc5l"
"131","Arrdc1","ARRDC1","ARRDC1_Arrdc1"
"132","Arrdc3","ARRDC3","ARRDC3_Arrdc3"
"133","Arsi","ARSI","ARSI_Arsi"
"134","Arsk","ARSK","ARSK_Arsk"
"135","Asb6","ASB6","ASB6_Asb6"
"136","Ascc2","ASCC2","ASCC2_Ascc2"
"137","Ash2l","ASH2L","ASH2L_Ash2l"
"138","Asic1","ASIC1","ASIC1_Asic1"
"139","Asph","ASPH","ASPH_Asph"
"140","Asphd1","ASPHD1","ASPHD1_Asphd1"
"141","Ate1","ATE1","ATE1_Ate1"
"142","Atg14","ATG14","ATG14_Atg14"
"143","Atg4d","ATG4D","ATG4D_Atg4d"
"144","Atg9a","ATG9A","ATG9A_Atg9a"
"145","Atmin","ATMIN","ATMIN_Atmin"
"146","Atoh8","ATOH8","ATOH8_Atoh8"
"147","Atp11b","ATP11B","ATP11B_Atp11b"
"148","Atp1a1","ATP1A1","ATP1A1_Atp1a1"
"149","Atp1b1","ATP1B1","ATP1B1_Atp1b1"
"150","Atp2b1","ATP2B1","ATP2B1_Atp2b1"
"151","Atp2b4","ATP2B4","ATP2B4_Atp2b4"
"152","Atp2c1","ATP2C1","ATP2C1_Atp2c1"
"153","Atp6v0a2","ATP6V0A2","ATP6V0A2_Atp6v0a2"
"154","Atp6v0d1","ATP6V0D1","ATP6V0D1_Atp6v0d1"
"155","Atpaf1","ATPAF1","ATPAF1_Atpaf1"
"156","Atrip","ATRIP","ATRIP_Atrip"
"157","Atxn7","ATXN7","ATXN7_Atxn7"
"158","Atxn7l3","ATXN7L3","ATXN7L3_Atxn7l3"
"159","Auh","AUH","AUH_Auh"
"160","Aup1","AUP1","AUP1_Aup1"
"161","Axl","AXL","AXL_Axl"
"162","B2m","B2M","B2M_B2m"
"163","B3galnt1","B3GALNT1","B3GALNT1_B3galnt1"
"164","B3galnt2","B3GALNT2","B3GALNT2_B3galnt2"
"165","B3galt6","B3GALT6","B3GALT6_B3galt6"
"166","B3gnt2","B3GNT2","B3GNT2_B3gnt2"
"167","B3gnt9","B3GNT9","B3GNT9_B3gnt9"
"168","B4galt5","B4GALT5","B4GALT5_B4galt5"
"169","B9d1","B9D1","B9D1_B9d1"
"170","B9d2","B9D2","B9D2_B9d2"
"171","Bag3","BAG3","BAG3_Bag3"
"172","Bag4","BAG4","BAG4_Bag4"
"173","Bag6","BAG6","BAG6_Bag6"
"174","Bak1","BAK1","BAK1_Bak1"
"175","Bap1","BAP1","BAP1_Bap1"
"176","Basp1","BASP1","BASP1_Basp1"
"177","Bax","BAX","BAX_Bax"
"178","Baz1b","BAZ1B","BAZ1B_Baz1b"
"179","Baz2a","BAZ2A","BAZ2A_Baz2a"
"180","Bbs12","BBS12","BBS12_Bbs12"
"181","Bcam","BCAM","BCAM_Bcam"
"182","Bcar1","BCAR1","BCAR1_Bcar1"
"183","Bcat1","BCAT1","BCAT1_Bcat1"
"184","Bccip","BCCIP","BCCIP_Bccip"
"185","Bcl2l1","BCL2L1","BCL2L1_Bcl2l1"
"186","Bcl7a","BCL7A","BCL7A_Bcl7a"
"187","Bcl7b","BCL7B","BCL7B_Bcl7b"
"188","Bcl7c","BCL7C","BCL7C_Bcl7c"
"189","Bcl9l","BCL9L","BCL9L_Bcl9l"
"190","Bcor","BCOR","BCOR_Bcor"
"191","Bicc1","BICC1","BICC1_Bicc1"
"192","Bicd2","BICD2","BICD2_Bicd2"
"193","Bid","BID","BID_Bid"
"194","Bin1","BIN1","BIN1_Bin1"
"195","Bloc1s3","BLOC1S3","BLOC1S3_Bloc1s3"
"196","Bmp2k","BMP2K","BMP2K_Bmp2k"
"197","Bmpr1a","BMPR1A","BMPR1A_Bmpr1a"
"198","Bmpr2","BMPR2","BMPR2_Bmpr2"
"199","Bok","BOK","BOK_Bok"
"200","Bop1","BOP1","BOP1_Bop1"
"201","Braf","BRAF","BRAF_Braf"
"202","Brap","BRAP","BRAP_Brap"
"203","Brd2","BRD2","BRD2_Brd2"
"204","Brd4","BRD4","BRD4_Brd4"
"205","Brd9","BRD9","BRD9_Brd9"
"206","Bri3","BRI3","BRI3_Bri3"
"207","Brms1l","BRMS1L","BRMS1L_Brms1l"
"208","Bscl2","BSCL2","BSCL2_Bscl2"
"209","Bst1","BST1","BST1_Bst1"
"210","Btbd19","BTBD19","BTBD19_Btbd19"
"211","Btbd3","BTBD3","BTBD3_Btbd3"
"212","Btbd6","BTBD6","BTBD6_Btbd6"
"213","Btbd7","BTBD7","BTBD7_Btbd7"
"214","Btn2a2","BTN2A2","BTN2A2_Btn2a2"
"215","1500009L16Rik","C12orf75","C12orf75_1500009L16Rik"
"216","1700017B05Rik","C15orf39","C15orf39_1700017B05Rik"
