"","MGI.symbol","HGNC.symbol","pair"
"498","Dlc1","DLC1","DLC1_Dlc1"
"499","Dlg1","DLG1","DLG1_Dlg1"
"500","Dmkn","DMKN","DMKN_Dmkn"
"501","Dmxl1","DMXL1","DMXL1_Dmxl1"
"502","Gm49383","DNAAF2","DNAAF2_Gm49383"
"503","Dnaja4","DNAJA4","DNAJA4_Dnaja4"
"504","Dnajb1","DNAJB1","DNAJB1_Dnajb1"
"505","Dnajb11","DNAJB11","DNAJB11_Dnajb11"
"506","Dnajb2","DNAJB2","DNAJB2_Dnajb2"
"507","Dnajb5","DNAJB5","DNAJB5_Dnajb5"
"508","Dnajc25","DNAJC25","DNAJC25_Dnajc25"
"509","Dnlz","DNLZ","DNLZ_Dnlz"
"510","Dnmt1","DNMT1","DNMT1_Dnmt1"
"511","Dnmt3a","DNMT3A","DNMT3A_Dnmt3a"
"512","Dnpep","DNPEP","DNPEP_Dnpep"
"513","Dnph1","DNPH1","DNPH1_Dnph1"
"514","Dnttip1","DNTTIP1","DNTTIP1_Dnttip1"
"515","Dock11","DOCK11","DOCK11_Dock11"
"516","Dock7","DOCK7","DOCK7_Dock7"
"517","Dok1","DOK1","DOK1_Dok1"
"518","Dolpp1","DOLPP1","DOLPP1_Dolpp1"
"519","Dpagt1","DPAGT1","DPAGT1_Dpagt1"
"520","Dpf2","DPF2","DPF2_Dpf2"
"521","Dph7","DPH7","DPH7_Dph7"
"522","Dpp4","DPP4","DPP4_Dpp4"
"523","Dpp7","DPP7","DPP7_Dpp7"
"524","Dpp9","DPP9","DPP9_Dpp9"
"525","Dpy19l1","DPY19L1","DPY19L1_Dpy19l1"
"526","Dpy19l3","DPY19L3","DPY19L3_Dpy19l3"
"527","Dram2","DRAM2","DRAM2_Dram2"
"528","Drap1","DRAP1","DRAP1_Drap1"
"529","Dse","DSE","DSE_Dse"
"530","Dtnbp1","DTNBP1","DTNBP1_Dtnbp1"
"531","Dusp16","DUSP16","DUSP16_Dusp16"
"532","Dusp6","DUSP6","DUSP6_Dusp6"
"533","Dut","DUT","DUT_Dut"
"534","Dvl1","DVL1","DVL1_Dvl1"
"535","Dvl2","DVL2","DVL2_Dvl2"
"536","Dvl3","DVL3","DVL3_Dvl3"
"537","Dync1i2","DYNC1I2","DYNC1I2_Dync1i2"
"538","Dynll2","DYNLL2","DYNLL2_Dynll2"
"539","Dyrk1a","DYRK1A","DYRK1A_Dyrk1a"
"540","E2f3","E2F3","E2F3_E2f3"
"541","E2f4","E2F4","E2F4_E2f4"
"542","E4f1","E4F1","E4F1_E4f1"
"543","Eapp","EAPP","EAPP_Eapp"
"544","Ebag9","EBAG9","EBAG9_Ebag9"
"545","Ebp","EBP","EBP_Ebp"
"546","Ebpl","EBPL","EBPL_Ebpl"
"547","Eci1","ECI1","ECI1_Eci1"
"548","Edc4","EDC4","EDC4_Edc4"
"549","Edem1","EDEM1","EDEM1_Edem1"
"550","Edem2","EDEM2","EDEM2_Edem2"
"551","Edil3","EDIL3","EDIL3_Edil3"
"552","Efcab14","EFCAB14","EFCAB14_Efcab14"
"553","Efcab7","EFCAB7","EFCAB7_Efcab7"
"554","Efemp1","EFEMP1","EFEMP1_Efemp1"
"555","Efhd2","EFHD2","EFHD2_Efhd2"
"556","Efs","EFS","EFS_Efs"
"557","Egln1","EGLN1","EGLN1_Egln1"
"558","Ehbp1l1","EHBP1L1","EHBP1L1_Ehbp1l1"
"559","Ehd1","EHD1","EHD1_Ehd1"
"560","Ehd4","EHD4","EHD4_Ehd4"
"561","Ehmt2","EHMT2","EHMT2_Ehmt2"
"562","Ei24","EI24","EI24_Ei24"
"563","Eif1","EIF1","EIF1_Eif1"
"564","Eif2ak1","EIF2AK1","EIF2AK1_Eif2ak1"
"565","Eif2ak4","EIF2AK4","EIF2AK4_Eif2ak4"
"566","Eif2b1","EIF2B1","EIF2B1_Eif2b1"
"567","Eif2b5","EIF2B5","EIF2B5_Eif2b5"
"568","Eif2s2","EIF2S2","EIF2S2_Eif2s2"
"569","Eif3b","EIF3B","EIF3B_Eif3b"
"570","Eif4e3","EIF4E3","EIF4E3_Eif4e3"
"571","Eif4ebp1","EIF4EBP1","EIF4EBP1_Eif4ebp1"
"572","Eif4ebp2","EIF4EBP2","EIF4EBP2_Eif4ebp2"
"573","Eif4enif1","EIF4ENIF1","EIF4ENIF1_Eif4enif1"
"574","Eif4g1","EIF4G1","EIF4G1_Eif4g1"
"575","Eif4g2","EIF4G2","EIF4G2_Eif4g2"
"576","Eif5b","EIF5B","EIF5B_Eif5b"
"577","Elac2","ELAC2","ELAC2_Elac2"
"578","Elavl1","ELAVL1","ELAVL1_Elavl1"
"579","Elk3","ELK3","ELK3_Elk3"
"580","Elk4","ELK4","ELK4_Elk4"
"581","Ell2","ELL2","ELL2_Ell2"
"582","Elovl1","ELOVL1","ELOVL1_Elovl1"
"583","Emc10","EMC10","EMC10_Emc10"
"584","Emc2","EMC2","EMC2_Emc2"
"585","Emc3","EMC3","EMC3_Emc3"
"586","Emc7","EMC7","EMC7_Emc7"
"587","Emc9","EMC9","EMC9_Emc9"
"588","Emilin1","EMILIN1","EMILIN1_Emilin1"
"589","Emilin2","EMILIN2","EMILIN2_Emilin2"
"590","Eml3","EML3","EML3_Eml3"
"591","Eml4","EML4","EML4_Eml4"
"592","Emp2","EMP2","EMP2_Emp2"
"593","Emp3","EMP3","EMP3_Emp3"
"594","Emx2","EMX2","EMX2_Emx2"
"595","Enah","ENAH","ENAH_Enah"
"596","Engase","ENGASE","ENGASE_Engase"
"597","Entpd6","ENTPD6","ENTPD6_Entpd6"
"598","Eogt","EOGT","EOGT_Eogt"
"599","Epb41l1","EPB41L1","EPB41L1_Epb41l1"
"600","Epc1","EPC1","EPC1_Epc1"
"601","Ephb1","EPHB1","EPHB1_Ephb1"
"602","Ephb3","EPHB3","EPHB3_Ephb3"
"603","Ephb6","EPHB6","EPHB6_Ephb6"
"604","Epm2a","EPM2A","EPM2A_Epm2a"
"605","Epn1","EPN1","EPN1_Epn1"
"606","Ercc1","ERCC1","ERCC1_Ercc1"
"607","Eri3","ERI3","ERI3_Eri3"
"608","Ermp1","ERMP1","ERMP1_Ermp1"
"609","Erp29","ERP29","ERP29_Erp29"
"610","Errfi1","ERRFI1","ERRFI1_Errfi1"
"611","Esco1","ESCO1","ESCO1_Esco1"
"612","Esyt2","ESYT2","ESYT2_Esyt2"
"613","Etf1","ETF1","ETF1_Etf1"
"614","Ethe1","ETHE1","ETHE1_Ethe1"
"615","Etnk2","ETNK2","ETNK2_Etnk2"
"616","Evi5","EVI5","EVI5_Evi5"
"617","Exoc3","EXOC3","EXOC3_Exoc3"
"618","Exoc5","EXOC5","EXOC5_Exoc5"
"619","Exog","EXOG","EXOG_Exog"
"620","Exosc1","EXOSC1","EXOSC1_Exosc1"
"621","Ext2","EXT2","EXT2_Ext2"
"622","Fads1","FADS1","FADS1_Fads1"
"623","Fads2","FADS2","FADS2_Fads2"
"624","Fads3","FADS3","FADS3_Fads3"
"625","Fah","FAH","FAH_Fah"
"626","Fahd1","FAHD1","FAHD1_Fahd1"
"627","Fam110a","FAM110A","FAM110A_Fam110a"
"628","Fam114a1","FAM114A1","FAM114A1_Fam114a1"
"629","Fam118a","FAM118A","FAM118A_Fam118a"
"630","Fam120a","FAM120A","FAM120A_Fam120a"
"631","Fam122a","FAM122A","FAM122A_Fam122a"
"632","Fam136a","FAM136A","FAM136A_Fam136a"
"633","Fam149b","FAM149B1","FAM149B1_Fam149b"
"634","Fam160b1","FAM160B1","FAM160B1_Fam160b1"
"635","Fam160b2","FAM160B2","FAM160B2_Fam160b2"
"636","Fam162b","FAM162B","FAM162B_Fam162b"
"637","Fam168b","FAM168B","FAM168B_Fam168b"
"638","Fam180a","FAM180A","FAM180A_Fam180a"
"639","Fam189b","FAM189B","FAM189B_Fam189b"
"640","Fam199x","FAM199X","FAM199X_Fam199x"
"641","Fam207a","FAM207A","FAM207A_Fam207a"
"642","Fam20b","FAM20B","FAM20B_Fam20b"
"643","Fam210a","FAM210A","FAM210A_Fam210a"
"644","Fam219b","FAM219B","FAM219B_Fam219b"
"645","Fam220a","FAM220A","FAM220A_Fam220a"
"646","Fam228b","FAM228B","FAM228B_Fam228b"
"647","Fam3c","FAM3C","FAM3C_Fam3c"
"648","Fam50a","FAM50A","FAM50A_Fam50a"
"649","Fam83g","FAM83G","FAM83G_Fam83g"
"650","Fam89a","FAM89A","FAM89A_Fam89a"
"651","Fam89b","FAM89B","FAM89B_Fam89b"
"652","Fam98c","FAM98C","FAM98C_Fam98c"
"653","Farp2","FARP2","FARP2_Farp2"
"654","Fas","FAS","FAS_Fas"
"655","Fasn","FASN","FASN_Fasn"
"656","Fastk","FASTK","FASTK_Fastk"
"657","Fat1","FAT1","FAT1_Fat1"
"658","Fau","FAU","FAU_Fau"
"659","Fbf1","FBF1","FBF1_Fbf1"
"660","Fbln2","FBLN2","FBLN2_Fbln2"
"661","Fbrsl1","FBRSL1","FBRSL1_Fbrsl1"
"662","Fbxl6","FBXL6","FBXL6_Fbxl6"
"663","Fbxo10","FBXO10","FBXO10_Fbxo10"
"664","Fbxo11","FBXO11","FBXO11_Fbxo11"
"665","Fbxo30","FBXO30","FBXO30_Fbxo30"
"666","Fbxo31","FBXO31","FBXO31_Fbxo31"
"667","Fbxo34","FBXO34","FBXO34_Fbxo34"
"668","Fbxo45","FBXO45","FBXO45_Fbxo45"
"669","Fbxo7","FBXO7","FBXO7_Fbxo7"
"670","Fbxo8","FBXO8","FBXO8_Fbxo8"
"671","Fbxo9","FBXO9","FBXO9_Fbxo9"
"672","Fbxw2","FBXW2","FBXW2_Fbxw2"
"673","Fbxw4","FBXW4","FBXW4_Fbxw4"
"674","Fbxw7","FBXW7","FBXW7_Fbxw7"
"675","Fcrlb","FCRLB","FCRLB_Fcrlb"
"676","Fdx1","FDX1","FDX1_Fdx1"
"677","Fech","FECH","FECH_Fech"
"678","Fem1c","FEM1C","FEM1C_Fem1c"
"679","Fermt2","FERMT2","FERMT2_Fermt2"
"680","Fgf2","FGF2","FGF2_Fgf2"
"681","Fgf5","FGF5","FGF5_Fgf5"
"682","Fgfr1","FGFR1","FGFR1_Fgfr1"
"683","Fgfrl1","FGFRL1","FGFRL1_Fgfrl1"
"684","Fhl1","FHL1","FHL1_Fhl1"
"685","Fhod1","FHOD1","FHOD1_Fhod1"
"686","Filip1l","FILIP1L","FILIP1L_Filip1l"
"687","Fitm2","FITM2","FITM2_Fitm2"
"688","Fjx1","FJX1","FJX1_Fjx1"
"689","Fkbp10","FKBP10","FKBP10_Fkbp10"
"690","Fkbp1a","FKBP1C","FKBP1C_Fkbp1a"
"691","Fkbp4","FKBP4","FKBP4_Fkbp4"
"692","Fkbp5","FKBP5","FKBP5_Fkbp5"
"693","Fkbp8","FKBP8","FKBP8_Fkbp8"
"694","Fkbp9","FKBP9","FKBP9_Fkbp9"
"695","Flna","FLNA","FLNA_Flna"
"696","Flnc","FLNC","FLNC_Flnc"
"697","Flot1","FLOT1","FLOT1_Flot1"
"698","Flrt2","FLRT2","FLRT2_Flrt2"
"699","Flrt3","FLRT3","FLRT3_Flrt3"
"700","Flywch1","FLYWCH1","FLYWCH1_Flywch1"
"701","Fmr1","FMR1","FMR1_Fmr1"
"702","Fndc3b","FNDC3B","FNDC3B_Fndc3b"
"703","Fnta","FNTA","FNTA_Fnta"
"704","Fosl2","FOSL2","FOSL2_Fosl2"
"705","Foxc2","FOXC2","FOXC2_Foxc2"
"706","Foxj2","FOXJ2","FOXJ2_Foxj2"
"707","Foxm1","FOXM1","FOXM1_Foxm1"
"708","Foxp4","FOXP4","FOXP4_Foxp4"
"709","Fpgs","FPGS","FPGS_Fpgs"
"710","Fra10ac1","FRA10AC1","FRA10AC1_Fra10ac1"
"711","Fscn1","FSCN1","FSCN1_Fscn1"
"712","Fst","FST","FST_Fst"
"713","Fubp3","FUBP3","FUBP3_Fubp3"
"714","Fus","FUS","FUS_Fus"
"715","Fut11","FUT11","FUT11_Fut11"
"716","Fxn","FXN","FXN_Fxn"
"717","Fxr2","FXR2","FXR2_Fxr2"
"718","Fzr1","FZR1","FZR1_Fzr1"
"719","G6pc3","G6PC3","G6PC3_G6pc3"
"720","Gadd45a","GADD45A","GADD45A_Gadd45a"
"721","Gadd45gip1","GADD45GIP1","GADD45GIP1_Gadd45gip1"
"722","Gak","GAK","GAK_Gak"
"723","Galk1","GALK1","GALK1_Galk1"
"724","Galns","GALNS","GALNS_Galns"
"725","Gamt","GAMT","GAMT_Gamt"
"726","Gas2l1","GAS2L1","GAS2L1_Gas2l1"
"727","Gas6","GAS6","GAS6_Gas6"
"728","Gata2","GATA2","GATA2_Gata2"
"729","Gatad2a","GATAD2A","GATAD2A_Gatad2a"
"730","Gba2","GBA2","GBA2_Gba2"
"731","Gclm","GCLM","GCLM_Gclm"
"732","Gcsh","GCSH","GCSH_Gcsh"
"733","Gdf11","GDF11","GDF11_Gdf11"
"734","Gdi1","GDI1","GDI1_Gdi1"
"735","Gdnf","GDNF","GDNF_Gdnf"
"736","Get4","GET4","GET4_Get4"
"737","Gfer","GFER","GFER_Gfer"
"738","Gfra1","GFRA1","GFRA1_Gfra1"
"739","Gga2","GGA2","GGA2_Gga2"
"740","Ggcx","GGCX","GGCX_Ggcx"
"741","Ggnbp2","GGNBP2","GGNBP2_Ggnbp2"
"742","Gid8","GID8","GID8_Gid8"
"743","Gigyf1","GIGYF1","GIGYF1_Gigyf1"
"744","Gipc1","GIPC1","GIPC1_Gipc1"
"745","Gjc1","GJC1","GJC1_Gjc1"
"746","Gldn","GLDN","GLDN_Gldn"
"747","Glis2","GLIS2","GLIS2_Glis2"
"748","Glrx5","GLRX5","GLRX5_Glrx5"
"749","Glt8d1","GLT8D1","GLT8D1_Glt8d1"
"750","Gltp","GLTP","GLTP_Gltp"
"751","Glul","GLUL","GLUL_Glul"
"752","Gmeb1","GMEB1","GMEB1_Gmeb1"
"753","Gmeb2","GMEB2","GMEB2_Gmeb2"
"754","Gmip","GMIP","GMIP_Gmip"
"755","Gmppb","GMPPB","GMPPB_Gmppb"
"756","Gna11","GNA11","GNA11_Gna11"
"757","Gna12","GNA12","GNA12_Gna12"
"758","Gna13","GNA13","GNA13_Gna13"
"759","Gnai2","GNAI2","GNAI2_Gnai2"
"760","Gnas","GNAS","GNAS_Gnas"
"761","Gnb1","GNB1","GNB1_Gnb1"
"762","Gnpnat1","GNPNAT1","GNPNAT1_Gnpnat1"
"763","Gnptab","GNPTAB","GNPTAB_Gnptab"
"764","Golga5","GOLGA5","GOLGA5_Golga5"
"765","Golga7","GOLGA7","GOLGA7_Golga7"
"766","Golm1","GOLM1","GOLM1_Golm1"
"767","Gopc","GOPC","GOPC_Gopc"
"768","Gorasp1","GORASP1","GORASP1_Gorasp1"
"769","Gorasp2","GORASP2","GORASP2_Gorasp2"
"770","Got2","GOT2","GOT2_Got2"
"771","Gpatch3","GPATCH3","GPATCH3_Gpatch3"
"772","Gpatch8","GPATCH8","GPATCH8_Gpatch8"
"773","Gpc1","GPC1","GPC1_Gpc1"
"774","Gpd1l","GPD1L","GPD1L_Gpd1l"
"775","Gpi1","GPI","GPI_Gpi1"
"776","Gpr107","GPR107","GPR107_Gpr107"
"777","Gpr137","GPR137","GPR137_Gpr137"
"778","Gpr39","GPR39","GPR39_Gpr39"
"779","Gpr68","GPR68","GPR68_Gpr68"
"780","Gprasp2","GPRASP2","GPRASP2_Gprasp2"
"781","Gprin1","GPRIN1","GPRIN1_Gprin1"
"782","Gpsm1","GPSM1","GPSM1_Gpsm1"
"783","Gpt2","GPT2","GPT2_Gpt2"
"784","Gramd1b","GRAMD1B","GRAMD1B_Gramd1b"
"785","Gramd1c","GRAMD1C","GRAMD1C_Gramd1c"
"786","Grb2","GRB2","GRB2_Grb2"
"787","Grk4","GRK4","GRK4_Grk4"
"788","Grk5","GRK5","GRK5_Grk5"
"789","Grk6","GRK6","GRK6_Grk6"
"790","Gsk3a","GSK3A","GSK3A_Gsk3a"
"791","Gsn","GSN","GSN_Gsn"
"792","Gsr","GSR","GSR_Gsr"
"793","Gtf2a1","GTF2A1","GTF2A1_Gtf2a1"
"794","Gtf2e2","GTF2E2","GTF2E2_Gtf2e2"
"795","Gtf2f1","GTF2F1","GTF2F1_Gtf2f1"
"796","Gtf3a","GTF3A","GTF3A_Gtf3a"
"797","Gtf3c4","GTF3C4","GTF3C4_Gtf3c4"
"798","Gtf3c6","GTF3C6","GTF3C6_Gtf3c6"
"799","Gtpbp2","GTPBP2","GTPBP2_Gtpbp2"
"800","Gucd1","GUCD1","GUCD1_Gucd1"
"801","Guk1","GUK1","GUK1_Guk1"
"802","Gusb","GUSB","GUSB_Gusb"
"803","H6pd","H6PD","H6PD_H6pd"
"804","Hagh","HAGH","HAGH_Hagh"
"805","Hcfc1","HCFC1","HCFC1_Hcfc1"
"806","Hdac1","HDAC1","HDAC1_Hdac1"
"807","Hdac10","HDAC10","HDAC10_Hdac10"
"808","Hdac2","HDAC2","HDAC2_Hdac2"
"809","Hdac3","HDAC3","HDAC3_Hdac3"
"810","Hdac5","HDAC5","HDAC5_Hdac5"
"811","Hdac9","HDAC9","HDAC9_Hdac9"
"812","Hddc2","HDDC2","HDDC2_Hddc2"
"813","Hdgf","HDGF","HDGF_Hdgf"
"814","Hdlbp","HDLBP","HDLBP_Hdlbp"
"815","Hebp2","HEBP2","HEBP2_Hebp2"
"816","Heca","HECA","HECA_Heca"
"817","Hectd1","HECTD1","HECTD1_Hectd1"
"818","Herc4","HERC4","HERC4_Herc4"
"819","Herpud2","HERPUD2","HERPUD2_Herpud2"
"820","Hexb","HEXB","HEXB_Hexb"
"821","Hgsnat","HGSNAT","HGSNAT_Hgsnat"
"822","Hibadh","HIBADH","HIBADH_Hibadh"
"823","Hic1","HIC1","HIC1_Hic1"
"824","Hif1a","HIF1A","HIF1A_Hif1a"
"825","Hint2","HINT2","HINT2_Hint2"
"826","Hlcs","HLCS","HLCS_Hlcs"
"827","H13","HM13","HM13_H13"
"828","Hmcn1","HMCN1","HMCN1_Hmcn1"
"829","Hmg20b","HMG20B","HMG20B_Hmg20b"
"830","Hmgb1","HMGB1","HMGB1_Hmgb1"
"831","Hmgb2","HMGB2","HMGB2_Hmgb2"
"832","Hmgn1","HMGN1","HMGN1_Hmgn1"
"833","Hnrnpa2b1","HNRNPA2B1","HNRNPA2B1_Hnrnpa2b1"
"834","Hnrnpa3","HNRNPA3","HNRNPA3_Hnrnpa3"
"835","Hnrnpab","HNRNPAB","HNRNPAB_Hnrnpab"
"836","Hnrnph1","HNRNPH1","HNRNPH1_Hnrnph1"
"837","Hnrnpk","HNRNPK","HNRNPK_Hnrnpk"
"838","Hnrnpl","HNRNPL","HNRNPL_Hnrnpl"
"839","Hnrnpm","HNRNPM","HNRNPM_Hnrnpm"
"840","Hnrnpul1","HNRNPUL1","HNRNPUL1_Hnrnpul1"
"841","Hook2","HOOK2","HOOK2_Hook2"
"842","Hook3","HOOK3","HOOK3_Hook3"
"843","Hoxa9","HOXA9","HOXA9_Hoxa9"
"844","Hoxc10","HOXC10","HOXC10_Hoxc10"
"845","Hoxc9","HOXC9","HOXC9_Hoxc9"
"846","Hp1bp3","HP1BP3","HP1BP3_Hp1bp3"
"847","Hps3","HPS3","HPS3_Hps3"
"848","Hras","HRAS","HRAS_Hras"
"849","Hrct1","HRCT1","HRCT1_Hrct1"
"850","Hrh1","HRH1","HRH1_Hrh1"
"851","Hsbp1l1","HSBP1L1","HSBP1L1_Hsbp1l1"
"852","Hsd17b12","HSD17B12","HSD17B12_Hsd17b12"
"853","Hsf1","HSF1","HSF1_Hsf1"
"854","Hsp90ab1","HSP90AB1","HSP90AB1_Hsp90ab1"
"855","Hspa4","HSPA4","HSPA4_Hspa4"
"856","Hspb11","HSPB11","HSPB11_Hspb11"
"857","Hspg2","HSPG2","HSPG2_Hspg2"
"858","Hsph1","HSPH1","HSPH1_Hsph1"
"859","Htatip2","HTATIP2","HTATIP2_Htatip2"
"860","Htatsf1","HTATSF1","HTATSF1_Htatsf1"
"861","Htra1","HTRA1","HTRA1_Htra1"
"862","Htra2","HTRA2","HTRA2_Htra2"
"863","Huwe1","HUWE1","HUWE1_Huwe1"
"864","Hyal2","HYAL2","HYAL2_Hyal2"
"865","Hyou1","HYOU1","HYOU1_Hyou1"
"866","Iars2","IARS2","IARS2_Iars2"
"867","Icmt","ICMT","ICMT_Icmt"
"868","Idh3b","IDH3B","IDH3B_Idh3b"
"869","Iffo1","IFFO1","IFFO1_Iffo1"
"870","Ifngr2","IFNGR2","IFNGR2_Ifngr2"
"871","Ifrd2","IFRD2","IFRD2_Ifrd2"
"872","Igf2","IGF2","IGF2_Igf2"
"873","Igf2bp2","IGF2BP2","IGF2BP2_Igf2bp2"
"874","Igfbp3","IGFBP3","IGFBP3_Igfbp3"
"875","Ikbkg","IKBKG","IKBKG_Ikbkg"
"876","Il11","IL11","IL11_Il11"
"877","Il13ra1","IL13RA1","IL13RA1_Il13ra1"
"878","Il17ra","IL17RA","IL17RA_Il17ra"
"879","Il1r1","IL1R1","IL1R1_Il1r1"
"880","Il6","IL6","IL6_Il6"
"881","Il6ra","IL6R","IL6R_Il6ra"
"882","Il6st","IL6ST","IL6ST_Il6st"
"883","Ilf3","ILF3","ILF3_Ilf3"
"884","Ilk","ILK","ILK_Ilk"
"885","Ilvbl","ILVBL","ILVBL_Ilvbl"
"886","Impa2","IMPA2","IMPA2_Impa2"
"887","Impact","IMPACT","IMPACT_Impact"
"888","Impdh1","IMPDH1","IMPDH1_Impdh1"
"889","Inf2","INF2","INF2_Inf2"
"890","Ing2","ING2","ING2_Ing2"
"891","Inpp1","INPP1","INPP1_Inpp1"
"892","Inpp5f","INPP5F","INPP5F_Inpp5f"
"893","Inppl1","INPPL1","INPPL1_Inppl1"
"894","Ints1","INTS1","INTS1_Ints1"
"895","Ints10","INTS10","INTS10_Ints10"
"896","Ints6","INTS6","INTS6_Ints6"
"897","Ints8","INTS8","INTS8_Ints8"
"898","Ipo5","IPO5","IPO5_Ipo5"
"899","Ipo8","IPO8","IPO8_Ipo8"
"900","Iqsec1","IQSEC1","IQSEC1_Iqsec1"
"901","Iqsec2","IQSEC2","IQSEC2_Iqsec2"
"902","Irak1","IRAK1","IRAK1_Irak1"
"903","Irf2bp2","IRF2BP2","IRF2BP2_Irf2bp2"
"904","Irf2bpl","IRF2BPL","IRF2BPL_Irf2bpl"
"905","Irx5","IRX5","IRX5_Irx5"
"906","Isca2","ISCA2","ISCA2_Isca2"
"907","Iscu","ISCU","ISCU_Iscu"
"908","Isoc1","ISOC1","ISOC1_Isoc1"
"909","Ist1","IST1","IST1_Ist1"
"910","Itfg1","ITFG1","ITFG1_Itfg1"
"911","Itga2","ITGA2","ITGA2_Itga2"
"912","Itga5","ITGA5","ITGA5_Itga5"
"913","Itga7","ITGA7","ITGA7_Itga7"
"914","Itgav","ITGAV","ITGAV_Itgav"
"915","Itgb1","ITGB1","ITGB1_Itgb1"
"916","Itgb5","ITGB5","ITGB5_Itgb5"
"917","Itm2c","ITM2C","ITM2C_Itm2c"
"918","Itpkb","ITPKB","ITPKB_Itpkb"
"919","Itpripl1","ITPRIPL1","ITPRIPL1_Itpripl1"
"920","Itpripl2","ITPRIPL2","ITPRIPL2_Itpripl2"
"921","Itsn1","ITSN1","ITSN1_Itsn1"
"922","Itsn2","ITSN2","ITSN2_Itsn2"
"923","Jak1","JAK1","JAK1_Jak1"
"924","Jdp2","JDP2","JDP2_Jdp2"
"925","Jmjd8","JMJD8","JMJD8_Jmjd8"
"926","Josd1","JOSD1","JOSD1_Josd1"
"927","Josd2","JOSD2","JOSD2_Josd2"
"928","Jtb","JTB","JTB_Jtb"
"929","Jun","JUN","JUN_Jun"
"930","Jund","JUND","JUND_Jund"
"931","Kank1","KANK1","KANK1_Kank1"
"932","Kank2","KANK2","KANK2_Kank2"
"933","Kansl1","KANSL1","KANSL1_Kansl1"
"934","Kansl1l","KANSL1L","KANSL1L_Kansl1l"
"935","Kat8","KAT8","KAT8_Kat8"
"936","Katnbl1","KATNBL1","KATNBL1_Katnbl1"
"937","Kbtbd2","KBTBD2","KBTBD2_Kbtbd2"
"938","Kbtbd4","KBTBD4","KBTBD4_Kbtbd4"
"939","Kcmf1","KCMF1","KCMF1_Kcmf1"
"940","Kcng1","KCNG1","KCNG1_Kcng1"
"941","Kcnj8","KCNJ8","KCNJ8_Kcnj8"
"942","Kcnk15","KCNK15","KCNK15_Kcnk15"
"943","Kcnk6","KCNK6","KCNK6_Kcnk6"
"944","Kcnma1","KCNMA1","KCNMA1_Kcnma1"
"945","Kcns3","KCNS3","KCNS3_Kcns3"
"946","Kctd13","KCTD13","KCTD13_Kctd13"
"947","Kctd15","KCTD15","KCTD15_Kctd15"
"948","Kctd17","KCTD17","KCTD17_Kctd17"
"949","Kctd2","KCTD2","KCTD2_Kctd2"
"950","Kctd5","KCTD5","KCTD5_Kctd5"
"951","Kctd9","KCTD9","KCTD9_Kctd9"
"952","Kdelr1","KDELR1","KDELR1_Kdelr1"
"953","Kdm1a","KDM1A","KDM1A_Kdm1a"
"954","Kdm1b","KDM1B","KDM1B_Kdm1b"
"955","Kdm2b","KDM2B","KDM2B_Kdm2b"
"956","Kdm4c","KDM4C","KDM4C_Kdm4c"
"957","Keap1","KEAP1","KEAP1_Keap1"
"958","Khnyn","KHNYN","KHNYN_Khnyn"
"959","Khsrp","KHSRP","KHSRP_Khsrp"
"960","2610507B11Rik","KIAA0100","KIAA0100_2610507B11Rik"
"961","5031439G07Rik","KIAA0930","KIAA0930_5031439G07Rik"
"962","4932438A13Rik","KIAA1109","KIAA1109_4932438A13Rik"
"963","Etl4","KIAA1217","KIAA1217_Etl4"
"964","0610010F05Rik","KIAA1841","KIAA1841_0610010F05Rik"
"965","Kif13a","KIF13A","KIF13A_Kif13a"
"966","Kif16b","KIF16B","KIF16B_Kif16b"
"967","Kif5b","KIF5B","KIF5B_Kif5b"
"968","Kifc3","KIFC3","KIFC3_Kifc3"
"969","Klf11","KLF11","KLF11_Klf11"
"970","Klf6","KLF6","KLF6_Klf6"
"971","Klhdc10","KLHDC10","KLHDC10_Klhdc10"
"972","Klhdc2","KLHDC2","KLHDC2_Klhdc2"
"973","Klhl11","KLHL11","KLHL11_Klhl11"
"974","Klhl2","KLHL2","KLHL2_Klhl2"
"975","Klhl26","KLHL26","KLHL26_Klhl26"
"976","Klhl5","KLHL5","KLHL5_Klhl5"
"977","Kmt2b","KMT2B","KMT2B_Kmt2b"
"978","Kmt2e","KMT2E","KMT2E_Kmt2e"
"979","Kpna1","KPNA1","KPNA1_Kpna1"
"980","Kptn","KPTN","KPTN_Kptn"
"981","Kras","KRAS","KRAS_Kras"
"982","Krt10","KRT10","KRT10_Krt10"
"983","Krtcap2","KRTCAP2","KRTCAP2_Krtcap2"
"984","Ktn1","KTN1","KTN1_Ktn1"
"985","Lactb","LACTB","LACTB_Lactb"
"986","Lactb2","LACTB2","LACTB2_Lactb2"
"987","Lage3","LAGE3","LAGE3_Lage3"
"988","Lama5","LAMA5","LAMA5_Lama5"
"989","Lamc1","LAMC1","LAMC1_Lamc1"
"990","Lamp1","LAMP1","LAMP1_Lamp1"
"991","Lamtor1","LAMTOR1","LAMTOR1_Lamtor1"
"992","Lap3","LAP3","LAP3_Lap3"
"993","Larp6","LARP6","LARP6_Larp6"
"994","Lbx2","LBX2","LBX2_Lbx2"
"995","Ldhb","LDHB","LDHB_Ldhb"
"996","Leo1","LEO1","LEO1_Leo1"
"997","Leprot","LEPROT","LEPROT_Leprot"
"998","Letm1","LETM1","LETM1_Letm1"
